,PROD#,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1,9,5.0,0.0,0.0,6.0,10.0,0.0,6.0,2.0,0.0,4.0,7.0,1.0,0.0,6.0
2,14,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0
3,15,14.0,2.0,0.0,17.0,18.0,9.0,16.0,12.0,0.0,10.0,14.0,13.0,17.0,19.0
4,24,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
5,26,3.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,27,3.0,0.0,0.0,13.0,10.0,11.0,1.0,0.0,0.0,6.0,9.0,0.0,2.0,5.0
7,29,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,34,36.0,1.0,0.0,120.0,82.0,61.0,96.0,49.0,0.0,90.0,54.0,81.0,61.0,101.0
9,37,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
10,38,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
11,50,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0
12,53,6.0,0.0,0.0,4.0,7.0,5.0,11.0,0.0,0.0,15.0,5.0,18.0,5.0,15.0
13,54,0.0,1.0,0.0,3.0,2.0,0.0,5.0,0.0,1.0,0.0,2.0,3.0,2.0,4.0
14,57,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0
15,66,1.0,0.0,0.0,7.0,0.0,1.0,7.0,3.0,0.0,2.0,3.0,3.0,4.0,6.0
16,67,16.0,4.0,0.0,22.0,53.0,45.0,38.0,20.0,0.0,88.0,22.0,29.0,23.0,31.0
17,71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18,72,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,9.0,1.0,2.0
19,75,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
20,76,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
21,82,1.0,1.0,3.0,5.0,3.0,6.0,5.0,1.0,2.0,8.0,1.0,3.0,7.0,4.0
22,86,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0
23,87,19.0,0.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,3.0,6.0,3.0
24,119,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
25,122,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
26,123,2.0,0.0,0.0,8.0,7.0,1.0,6.0,3.0,0.0,5.0,1.0,4.0,9.0,9.0
27,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
