,PROD#,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,9,5.0,0.0,0.0,5.0,5.0,0.0,5.0,2.0,0.0,4.0,4.0,1.0,0.0,6.0
2,14,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0
3,15,13.0,2.0,0.0,17.0,16.0,9.0,12.0,11.0,0.0,9.0,14.0,12.0,16.0,16.0
4,24,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
5,26,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,27,2.0,0.0,0.0,5.0,7.0,5.0,4.0,0.0,0.0,6.0,7.0,2.0,2.0,5.0
7,29,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,34,21.0,1.0,0.0,41.0,38.0,25.0,33.0,21.0,0.0,38.0,28.0,38.0,32.0,38.0
9,37,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
10,38,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
11,50,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0
12,53,3.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,0.0,7.0,1.0,5.0,3.0,7.0
13,54,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0
14,57,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
15,66,1.0,0.0,0.0,5.0,4.0,1.0,3.0,3.0,0.0,1.0,3.0,2.0,3.0,4.0
16,67,14.0,1.0,0.0,13.0,21.0,20.0,12.0,8.0,0.0,22.0,10.0,14.0,11.0,16.0
17,71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18,72,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0
19,75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
20,76,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,82,1.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,3.0,4.0,4.0
22,86,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
23,87,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
24,119,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
25,122,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
26,123,2.0,0.0,0.0,8.0,3.0,1.0,6.0,3.0,0.0,4.0,1.0,2.0,4.0,8.0
27,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,158,3.0,2.0,0.0,8.0,8.0,2.0,12.0,4.0,1.0,8.0,7.0,6.0,1.0,10.0
29,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
31,184,3.0,0.0,0.0,8.0,2.0,3.0,3.0,4.0,0.0,4.0,2.0,3.0,5.0,5.0
32,210,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
33,212,32.0,1.0,0.0,46.0,51.0,26.0,57.0,24.0,0.0,46.0,30.0,46.0,30.0,56.0
34,355,10.0,3.0,0.0,8.0,12.0,7.0,22.0,11.0,3.0,15.0,10.0,13.0,11.0,14.0
35,368,1.0,0.0,1.0,2.0,3.0,2.0,6.0,1.0,0.0,5.0,4.0,5.0,2.0,2.0
36,414,3.0,0.0,0.0,1.0,4.0,1.0,6.0,3.0,0.0,7.0,5.0,2.0,1.0,7.0
37,417,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,459,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0,2.0
39,465,6.0,0.0,0.0,7.0,4.0,6.0,8.0,3.0,0.0,8.0,0.0,7.0,5.0,6.0
40,468,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0
41,485,8.0,0.0,0.0,16.0,20.0,9.0,18.0,4.0,0.0,23.0,10.0,24.0,9.0,24.0
42,488,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,489,1.0,0.0,0.0,4.0,4.0,1.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0
44,494,2.0,0.0,0.0,3.0,4.0,1.0,4.0,3.0,0.0,7.0,1.0,1.0,2.0,2.0
45,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
46,501,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
47,502,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
48,503,0.0,0.0,0.0,56.0,18.0,3.0,7.0,0.0,0.0,15.0,52.0,13.0,7.0,6.0
