PRODUCT DESCRIPTION,PROD#,ON HAND (ACTL),BUY
MICRO BLOSSOM BLINQ PK              50CT,02733,0,LLB
CORN YELLOW LOCAL CS             40-48CT,41206,21,MJO
CORN YELLOW LOCAL CS             40-48CT,41206,78,MJO
CORN YELLOW LOCAL CS             40-48CT,41206,0,MJO
ACAI SORBET FROZEN CS                3GL,02919,7,LLB
ACAI SORBET FROZEN CS                3GL,02919,15,LLB
ACAI SORBET FROZEN CS                3GL,02919,0,LLB
ALMOND SLICED LB                      1#,04611,15,CEF
ALMOND SLICED LB                      1#,04611,0,CEF
ALMOND SLICED CS                     25#,06611,2,CEF
ALMOND SLICED CS                     25#,06611,1,CEF
ALMOND SLICED CS                     25#,06611,0,CEF
ALMOND SLIVERED CS                   25#,06610,3,CEF
ALMOND SLIVERED CS                   25#,06610,2,CEF
ALMOND SLIVERED CS                   25#,06610,0,CEF
ALMOND SLIVERED LB                    1#,16610,11,CEF
ALMOND SLIVERED LB                    1#,16610,0,CEF
ALMOND ROASTED/NO-SALT CS            25#,04623,1,CEF
ALMOND ROASTED/NO-SALT CS            25#,04623,0,CEF
ALOE VERA 12-18CT CS                 10#,02929,0,MJO
MICRO AMARANTH RED PK                8OZ,00066,2,LLB
MICRO AMARANTH RED PK                8OZ,00066,0,LLB
MICRO AMARANTH RED PK                8OZ,00066,0,LLB
MICRO AMARANTH RED PK                8OZ,00066,0,LLB
ANISE BABY CS                       12CT,09107,0,LLB
ANISE FENNEL CS                     24CT,01000,16,RRT
ANISE FENNEL CS                     24CT,01000,24,RRT
ANISE FENNEL CS                     24CT,01000,0,RRT
ANISE FENNEL CS                     24CT,01000,0,RRT
ANISE FENNEL CS                     24CT,01000,0,RRT
ANISE FENNEL PK                      6PK,61000,1,RRT
ANISE FENNEL PK                      6PK,61000,8,RRT
ANISE FENNEL PK                      6PK,61000,0,RRT
ANISE FENNEL PK                      6PK,61000,0,RRT
ANISE FENNEL HALF CS                12CT,21000,2,RRT
ANISE FENNEL HALF CS                12CT,21000,0,RRT
ANISE FENNEL HALF CS                12CT,21000,0,RRT
ANISE SHAVED            KK  CS      2/5#,01001,0,TS
APPLE CARAMEL W/ NUTS CS            24CT,03015,10,MJO
APPLE CARAMEL W/ NUTS CS            24CT,03015,0,MJO
APPLE CARAMEL W/ JIMMIES CS         24CT,73015,10,MJO
APPLE CARAMEL W/ JIMMIES CS         24CT,73015,0,MJO
APPLE CIDER PINTS LOCAL CS       20/16OZ,03477,23,LLB
APPLE CIDER PINTS LOCAL CS       20/16OZ,03477,0,LLB
APPLE CIDER LOCAL CS               4/1GL,03475,39,LLB
APPLE CIDER LOCAL CS               4/1GL,03475,0,LLB
APPLE CIDER HALF GAL LOCAL CS     9/64OZ,03084,8,LLB
APPLE CIDER HALF GAL LOCAL CS     9/64OZ,03084,0,LLB
APPLE FROZEN SLICED IQF CS           40#,05290,1,LLB
APPLE FROZEN SLICED IQF CS           40#,05290,0,LLB
APPLE FUJI 100CT CS                  40#,03017,0,CEF
APPLE FUJI 100CT CS                  40#,03017,9,CEF
APPLE FUJI 100CT CS                  40#,03017,0,CEF
APPLE FUJI 100CT CS                  40#,03017,0,CEF
APPLE FUJI PK                        6PK,63017,7,CEF
APPLE FUJI PK                        6PK,63017,0,CEF
APPLE FUJI PK                        6PK,63017,0,CEF
APPLE FUJI 56/64CT CS                40#,03040,1,CEF
APPLE FUJI 56/64CT CS                40#,03040,7,CEF
APPLE FUJI 56/64CT CS                40#,03040,0,CEF
APPLE FUJI 80-88CT CS                40#,77111,1,CEF
APPLE FUJI 80-88CT CS                40#,77111,0,CEF
APPLE GALA 100CT CS                  40#,03008,17,CEF
APPLE GALA 100CT CS                  40#,03008,0,CEF
APPLE GALA 100CT CS                  40#,03008,0,CEF
APPLE GALA PK                        6PK,63008,11,CEF
APPLE GALA PK                        6PK,63008,0,CEF
APPLE GALA PK                        6PK,63008,0,CEF
APPLE GALA 80-88CT CS                40#,03026,16,CEF
APPLE GALA 80-88CT CS                40#,03026,0,CEF
APPLE GALA 125CT CS                  40#,03038,32,CEF
APPLE GALA 125CT CS                  40#,03038,0,CEF
APPLE GALA 125CT CS                  40#,03038,0,CEF
APPLE GALA ORGANIC CS                38#,00160,0,CEF
APPLE GALA JAMBA CS                  40#,03608,1,CEF
APPLE GALA JAMBA CS                  40#,03608,0,CEF
APPLE GALA LOCAL 80-100CT CS         40#,08008,42,CEF
APPLE GALA LOCAL 80-100CT CS         40#,08008,42,CEF
APPLE GALA LOCAL 80-100CT CS         40#,08008,0,CEF
APPLE GINGERGOLD LOCAL 125-138       40#,41798,4,CJW
APPLE GINGERGOLD LOCAL 125-138       40#,41798,42,CJW
APPLE GINGERGOLD LOCAL 125-138       40#,41798,0,CJW
APPLE GOLD DEL 56-64CT CS            40#,03013,0,CEF
APPLE GOLD DEL 80-88CT CS            40#,03020,37,CEF
APPLE GOLD DEL 80-88CT CS            40#,03020,0,CEF
APPLE GOLD DEL 138CT                 40#,03025,0,CEF
APPLE GOLD DEL 138CT                 40#,03025,-1,CEF
APPLE GOLD DEL 100CT CS              40#,03007,11,CEF
APPLE GOLD DEL 100CT CS              40#,03007,0,CEF
APPLE GOLD DEL PK                    6PK,63007,5,CEF
APPLE GOLD DEL PK                    6PK,63007,0,CEF
APPLE GOLD DEL HALF CS              50CT,23007,1,CEF
APPLE GOLD DEL HALF CS              50CT,23007,2,CEF
APPLE GOLD DEL HALF CS              50CT,23007,0,CEF
APPLE GOLD DEL 125CT CS              40#,03031,4,CEF
APPLE GOLD DEL 125CT CS              40#,03031,0,CEF
APPLE GOLD DEL 125CT CS              40#,03031,0,CEF
APPLE GOLD DEL 125CT CS              40#,03031,12,CEF
APPLE GOLD DEL 125CT CS              40#,03031,0,CEF
APPLE GOURMET ARRAY CS             100CT,00459,5,CEF
APPLE GOURMET ARRAY CS             100CT,00459,0,CEF
APPLE GRANNY SMITH 72CT CS           40#,00029,1,CEF
APPLE GRANNY SMITH 72CT CS           40#,00029,0,CEF
APPLE GRANNY SMITH 138CT             40#,03023,9,CEF
APPLE GRANNY SMITH 138CT             40#,03023,0,CEF
APPLE GRANNY SMITH 138CT             40#,03023,0,CEF
APPLE GRANNY SMITH 100CT CS          40#,03009,0,CEF
APPLE GRANNY SMITH 100CT CS          40#,03009,7,CEF
APPLE GRANNY SMITH 100CT CS          40#,03009,14,CEF
APPLE GRANNY SMITH 100CT CS          40#,03009,0,CEF
APPLE GRANNY SMITH PK                6PK,63009,15,CEF
APPLE GRANNY SMITH PK                6PK,63009,16,CEF
APPLE GRANNY SMITH PK                6PK,63009,0,CEF
APPLE GRANNY SMITH PK                6PK,63009,0,CEF
APPLE GRANNY SMITH HALF CS          50CT,23009,1,CEF
APPLE GRANNY SMITH HALF CS          50CT,23009,4,CEF
APPLE GRANNY SMITH HALF CS          50CT,23009,2,CEF
APPLE GRANNY SMITH HALF CS          50CT,23009,0,CEF
APPLE GRANNY SMITH HALF CS          50CT,23009,0,CEF
APPLE GRANNY SMITH 56-64CT CS        40#,03032,3,CEF
APPLE GRANNY SMITH 56-64CT CS        40#,03032,0,CEF
APPLE GRANNY SMITH 56-64CT CS        40#,03032,0,CEF
APPLE GRANNY SMITH 80-88CT CS        40#,03021,0,CEF
APPLE GRANNY SMITH 80-88CT CS        40#,03021,2,CEF
APPLE GRANNY SMITH 80-88CT CS        40#,03021,0,CEF
APPLE GRANNY SMITH 125CT CS          40#,00009,35,CEF
APPLE GRANNY SMITH 125CT CS          40#,00009,0,CEF
APPLE GRANNY SMITH 125CT CS          40#,00009,0,CEF
APPLE GRANNY SMITH 125CT CS          40#,00009,0,CEF
APPLE HONEYCRISP 80-113CT CS         40#,03308,53,CEF
APPLE HONEYCRISP 80-113CT CS         40#,03308,0,CEF
APPLE HONEYCRISP 80-113CT CS         40#,03308,0,CEF
APPLE HONEYCRISP 40-56CT HC          20#,23308,1,CEF
APPLE HONEYCRISP 40-56CT HC          20#,23308,0,CEF
APPLE PINK LADY 80-113CT CS          40#,03018,0,CEF
APPLE PINK LADY 80-113CT CS          40#,03018,2,CEF
APPLE PINK LADY 80-113CT CS          40#,03018,7,CEF
APPLE PINK LADY 80-113CT CS          40#,03018,0,CEF
APPLE RED SLICED CS              100/2OZ,00503,45,LLB
APPLE RED SLICED CS              100/2OZ,00503,336,LLB
APPLE RED SLICED CS              100/2OZ,00503,0,LLB
APPLE RED SLICED CS              100/2OZ,00503,0,LLB
APPLE FUJI 125-138CT CS              40#,00368,0,CEF
APPLE GALA LOCAL 125-138CT CS        40#,08750,75,CEF
APPLE GALA LOCAL 125-138CT CS        40#,08750,0,CEF
APPLE RED DEL 56-64CT CS             40#,03001,4,CEF
APPLE RED DEL 56-64CT CS             40#,03001,0,CEF
APPLE RED DEL 56-64CT CS             40#,03001,0,CEF
APPLE RED DEL 100CT CS               40#,03003,29,CEF
APPLE RED DEL 100CT CS               40#,03003,0,CEF
APPLE RED DEL 100CT CS               40#,03003,0,CEF
APPLE RED DEL 100CT CS               40#,03003,0,CEF
APPLE RED DEL PK                     6PK,63003,15,CEF
APPLE RED DEL PK                     6PK,63003,0,CEF
APPLE RED DEL HALF CS               50CT,23003,1,CEF
APPLE RED DEL HALF CS               50CT,23003,4,CEF
APPLE RED DEL HALF CS               50CT,23003,0,CEF
APPLE RED DEL 72CT CS                40#,03039,10,CEF
APPLE RED DEL 72CT CS                40#,03039,0,CEF
APPLE RED DEL 80-88CT CS             40#,03005,5,CEF
APPLE RED DEL 80-88CT CS             40#,03005,42,CEF
APPLE RED DEL 80-88CT CS             40#,03005,42,CEF
APPLE RED DEL 80-88CT CS             40#,03005,0,CEF
APPLE RED DEL 125CT CS               40#,03002,64,CEF
APPLE RED DEL 125CT CS               40#,03002,0,CEF
APPLE RED DEL 125CT CS               40#,03002,0,CEF
APPLE RED DEL 125CT CS               40#,03002,0,CEF
APPLE RED DEL 138CT CS               40#,03022,27,CEF
APPLE RED DEL 138CT CS               40#,03022,0,CEF
APPLE RED DEL 138CT CS               40#,03022,0,CEF
APPLE RED DEL 138CT CS               40#,03022,0,CEF
APPLE ROME 72CT CS                   40#,03012,0,CEF
APPLE RED SLICED SK/ON CS           4/5#,02994,75,LLB
APPLE RED SLICED SK/ON CS           4/5#,02994,0,LLB
APPLE RED SLICED SK/ON CS           4/5#,02994,0,LLB
APPLE SWEET SLICED CS             6/12OZ,03766,6,LLB
APPLE SWEET SLICED CS             6/12OZ,03766,0,LLB
APPLE SWEET SLICED CS             6/12OZ,03766,0,LLB
APRICOT DRIED CS                     28#,09704,1,CEF
APRICOT DRIED CS                     28#,09704,3,CEF
APRICOT DRIED CS                     28#,09704,0,CEF
APRICOT DRIED LB                      1#,19704,7,CEF
APRICOT DRIED LB                      1#,19704,0,CEF
SQUASH ACORN HALF CS               1/2BU,21440,2,CJW
SQUASH ACORN HALF CS               1/2BU,21440,0,CJW
SQUASH ACORN HALF CS               1/2BU,21440,0,CJW
ARUGULA BABY B&W CS               2/1.5#,02011,54,CJW
ARUGULA BABY B&W CS               2/1.5#,02011,39,CJW
ARUGULA BABY B&W CS               2/1.5#,02011,39,CJW
ARUGULA BABY B&W CS               2/1.5#,02011,0,CJW
ARUGULA BABY ORGANIC CS               4#,92007,14,RRT
ARUGULA BABY ORGANIC CS               4#,92007,0,RRT
ARUGULA BABY ORGANIC CS               4#,92007,0,RRT
ARUGULA BABY ORGANIC CS               4#,92007,0,RRT
ARUGULA BABY CS                       4#,02007,19,RRT
ARUGULA BABY CS                       4#,02007,72,RRT
ARUGULA BABY CS                       4#,02007,288,RRT
ARUGULA BABY CS                       4#,02007,0,RRT
ARUGULA BABY CS                       4#,02007,5,RRT
ARUGULA BABY CS                       4#,02007,0,RRT
ARUGULA BABY CS                       4#,02007,0,RRT
MICRO ARUGULA PK                     8OZ,01999,6,LLB
MICRO ARUGULA PK                     8OZ,01999,0,LLB
