,BUY,PROD#,PRODUCT DESCRIPTION,ON HAND (ACTL),2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15
0,RRT,2,FREIGHT,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TS,5,SAMPLE CODE CS                        CS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2,MSC,6,FREIGHT CHARGE(HERE)/PALLET,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,CEF,9,APPLE GRANNY SMITH 125CT CS          40#,35.0,5.0,0.0,0.0,6.0,10.0,0.0,6.0,2.0,0.0,4.0,7.0,1.0,0.0,6.0
4,MJO,14,LEEKS HOLLAND CS                     11#,3.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0
5,MJO,15,ONION RED MEDIUM CS                  25#,93.0,14.0,2.0,0.0,17.0,18.0,9.0,16.0,12.0,0.0,10.0,14.0,13.0,17.0,19.0
6,CJW,22,BANANA BLOSSOMS CS                30-32#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LLB,24,ONION FROZEN DICED CS                20#,14.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
8,RRT,26,CAULIFLOWER ORANGE CS                6CT,4.0,3.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,CEF,27,CARROT COIN CUT **20#** CS          4/5#,15.0,3.0,0.0,0.0,13.0,10.0,11.0,1.0,0.0,0.0,6.0,9.0,0.0,2.0,5.0
10,CEF,29,APPLE GRANNY SMITH 72CT CS           40#,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,RRT,34,CAULIFLOWER FLORET CS     4/3#,264.0,36.0,1.0,0.0,120.0,82.0,61.0,96.0,49.0,0.0,90.0,54.0,81.0,61.0,101.0
12,LLB,37,BANANA PLANTAIN FROZEN CS           4/6#,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
13,MJO,38,BEET CANDY CANE LOOSE CS             25#,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
14,CJW,43,SQUASH YELLOW CS               FULL BSHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,TS,50,BEET GOLD WHOLE PEELED KK CS         10#,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0
16,TS,53,"CARROT DICE 1/2""        KK  CS      2/5#",13.0,6.0,0.0,0.0,4.0,7.0,5.0,11.0,0.0,0.0,15.0,5.0,18.0,5.0,15.0
17,CJW,54,EDAMAME SOY KERNEL FRZ CS          20/1#,4.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,0.0,1.0,0.0,2.0,3.0,2.0,4.0
18,TS,56,"CARROT CUBE 1""          KK  CS      2/5#",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,LLB,57,CARROT BABY ROUND CS                12BU,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0
20,LLB,66,MICRO AMARANTH RED PK                8OZ,2.0,1.0,0.0,0.0,7.0,0.0,1.0,7.0,3.0,0.0,2.0,3.0,3.0,4.0,6.0
21,RRT,67,KALE BABY CS                          2#,81.0,16.0,4.0,0.0,22.0,53.0,45.0,38.0,20.0,0.0,88.0,22.0,29.0,23.0,31.0
22,CJW,71,TURMERIC CS                          10#,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23,CJW,72,TURMERIC LB                           1#,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,9.0,1.0,2.0
24,TS,73,"TORTILLA,PLAIN CORN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,TS,75,"CARROT PEARL 1/2""       KK CS         5#",0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
26,TS,76,"TURNIP PEARLS 1/2"" KK CS              5#",0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
27,CEF,79,CANTALOUPE 6CT CS                    6CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,CJW,82,PEP FULL BSHL JALAPENO CS       APRX 28#,114.0,1.0,1.0,3.0,5.0,3.0,6.0,5.0,1.0,2.0,8.0,1.0,3.0,7.0,4.0
29,CJW,86,POT YAMS BABY CS                     10#,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0
30,TS,87,"ONION YLW DICE 3/4"" KK CS           2/5#",0.0,19.0,0.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,3.0,6.0,3.0
31,CEF,114,PEACHES DRIED CS                     25#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,LLB,119,RADISH BBY MIX XTRA FANCY CS        12CT,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
33,LLB,122,CARROT BABY MIXED CS                12BU,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
34,CJW,123,EGGPLANT MEDIUM CS                  24CT,0.0,2.0,0.0,0.0,8.0,7.0,1.0,6.0,3.0,0.0,5.0,1.0,4.0,9.0,9.0
35,LLB,127,BEET BABY MIXED BUNCHED CS          12BU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36,CJW,143,SQUASH YELLOW CS                   4/7BU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,CJW,156,ROOT GALANGAL PK                      5#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,MJO,158,PEP VEGGIE SWEET MIX COLOR CS         5#,27.0,4.0,3.0,0.0,13.0,12.0,4.0,16.0,5.0,1.0,24.0,10.0,7.0,3.0,13.0
39,CEF,160,APPLE GALA ORGANIC CS                38#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,LLB,175,LETT MIXED BABY CS                  12CT,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
41,LLB,181,TRUFFLE PEELINGS CAN                 7OZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,LLB,182,OIL WHITE TRUFFLE EA                 8OZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,RRT,184,LETT BABY ICEBERG CS                40CT,9.0,5.0,0.0,0.0,10.0,3.0,3.0,4.0,6.0,0.0,5.0,3.0,4.0,6.0,5.0
44,LLB,191,ONION RED ORGANIC CS                 50#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,RRT,210,CAULIFLOWER PURPLE CS                6CT,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
46,RRT,212,LETT ARCADIAN HARVEST CS              3#,274.0,107.0,3.0,0.0,110.0,120.0,71.0,233.0,67.0,0.0,155.0,63.0,105.0,77.0,150.0
47,JAG,236,shim 580039717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,CJW,322,TOMATO BROWN CS                    10/1#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,JAG,341,DISC 7416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,LLB,353,FLOW DAISY MUM (POM POM) PK          1BU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,MJO,355,POT YUKON B CS                       50#,109.0,19.0,5.0,0.0,16.0,16.0,12.0,35.0,15.0,6.0,24.0,21.0,19.0,27.0,33.0
52,CEF,368,APPLE FUJI 125-138CT CS              40#,0.0,2.0,0.0,1.0,3.0,8.0,3.0,10.0,1.0,0.0,7.0,6.0,0.0,1.0,0.0
53,CJW,414,WATERCRESS RED CS                   1.5#,10.0,4.0,0.0,0.0,1.0,4.0,1.0,8.0,4.0,0.0,10.0,5.0,2.0,1.0,7.0
54,LLB,417,PEP DRIED GUAJILLO PK                 5#,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,CEF,459,APPLE GOURMET ARRAY CS             100CT,5.0,0.0,0.0,0.0,31.0,2.0,1.0,1.0,0.0,0.0,3.0,8.0,2.0,0.0,2.0
56,RRT,465,CAULIFLOWER TRI COLOR CS             6CT,19.0,9.0,0.0,0.0,7.0,11.0,14.0,14.0,12.0,0.0,25.0,0.0,14.0,24.0,6.0
57,LLB,468,SEEDS POMEGRANATE CS            12/4.4OZ,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
58,TS,485,PINEAPPLE CHUNK         KK  CS    4/2.5#,22.0,32.0,0.0,0.0,65.0,69.0,31.0,96.0,23.0,0.0,90.0,38.0,108.0,40.0,111.0
59,CJW,488,TOMATO CAMPARI CS                  10/1#,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,CJW,489,TOMATO HOT HOUSE CS              18-24CT,14.0,1.0,0.0,0.0,6.0,7.0,1.0,5.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0
61,TS,494,BLEND TOMATO SALSA MILD KK  CS      2/5#,1.0,5.0,0.0,0.0,5.0,5.0,1.0,5.0,10.0,0.0,11.0,1.0,1.0,3.0,6.0
62,TS,500,JEMS ORANGE WEDGE       KK  CS  50/2.7oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
63,TS,501,JEMS PINEAPPLE CHUNK    KK  CS  50/2.7oz,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
64,TS,502,JEMS GRAPES RED         KK  CS    50/2oz,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
65,LLB,503,APPLE RED SLICED CS              100/2OZ,381.0,0.0,0.0,0.0,263.0,42.0,16.0,9.0,0.0,0.0,46.0,293.0,59.0,36.0,16.0
66,MJO,514,PICKLES RED HOT X-CUT TUB           5GAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,MJO,515,PICKLES HALVES TUB                  5GAL,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
68,MJO,518,PICKLES STACKERS TUB                5GAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,MJO,530,POT KENNEBEC SPEC FRY LOC CS         50#,76.0,16.0,0.0,0.0,25.0,29.0,4.0,23.0,9.0,0.0,18.0,18.0,23.0,10.0,31.0
70,LLB,554,ROMANESCO CS                     12-20CT,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0
71,RRT,618,LETT SPRING MIX CS                  4/3#,33.0,27.0,7.0,0.0,34.0,24.0,24.0,35.0,32.0,0.0,32.0,17.0,25.0,14.0,47.0
72,CJW,626,PEP CAROLINA REAPER CS             8/50G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,TS,630,"ONION YLW SLICE 1/8""    KK  CS    4/2.5#",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,MJO,645,ONION WHITE JUMBO CS                 50#,68.0,2.0,0.0,0.0,12.0,15.0,7.0,12.0,1.0,0.0,5.0,31.0,4.0,13.0,2.0
75,RRT,647,SPROUTS BRUSSELS PK                   5#,11.0,3.0,0.0,0.0,10.0,13.0,13.0,7.0,7.0,0.0,11.0,11.0,16.0,7.0,15.0
76,CJW,649,PEP SHISHITO CS                    8-10#,23.0,9.0,1.0,0.0,10.0,7.0,5.0,15.0,6.0,0.0,7.0,3.0,4.0,6.0,12.0
77,CEF,668,PINEAPPLE CROWNLESS CS               8CT,475.0,20.0,40.0,0.0,0.0,225.0,291.0,18.0,6.0,160.0,0.0,155.0,210.0,0.0,0.0
78,CJW,699,PEP DRIED ASIAN CHILI LB              1#,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,LLB,700,PUREE BLOOD ORANGE FROZEN CS      6/30OZ,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
80,LLB,702,PUREE MANGO FROZEN CS             6/30OZ,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
81,LLB,703,PUREE PASSION FRUIT FROZEN CS     6/30OZ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,LLB,704,PUREE RASPBERRY FROZEN CS         6/30OZ,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,LLB,705,PUREE STRAWBERRY FROZEN CS        6/30OZ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
