,BUY,PROD#,PRODUCT DESCRIPTION,last_wk_total,this_wk_total,rate_of_change,cust_count_last_wk,cust_count_this_wk,cust_count_rate_of_change,avg_cs_per_cust_last_wk,avg_cs_per_cust_this_wk,avg_cust_rate_of_change,mover_rate
859,CJW,9118,TOFU XTRA FIRM CS                12/12OZ,20.0,86.0,3.3,13.0,39.0,2.0,1.54,2.21,0.43,1.91
508,LLB,2994,APPLE RED SLICED SK/ON CS           4/5#,32.0,108.0,2.38,12.0,26.0,1.17,2.67,4.15,0.56,1.37
391,TS,2110,CARROT WHOLE PEELED KK CS          2/10#,13.0,36.0,1.77,9.0,21.0,1.33,1.44,1.71,0.19,1.1
1024,MJO,19460,PEAS SUGAR SNAP LB                    1#,9.0,22.0,1.44,6.0,11.0,0.83,1.5,2.0,0.33,0.87
82,TS,891,"ONION WHITE JULIEN 1/4"" KK  CS      2/5#",42.0,103.0,1.45,18.0,25.0,0.39,2.33,4.12,0.77,0.87
408,TS,2142,"ONION YLW 1/4"" RING KK CS           2/5#",38.0,91.0,1.39,13.0,18.0,0.38,2.92,5.06,0.73,0.84
449,TS,2396,"BLEND FAJITA 1/4"" KK CS             2/5#",139.0,310.0,1.23,19.0,23.0,0.21,7.32,13.48,0.84,0.76
1326,CEF,63326,PEAR PK                              6PK,17.0,35.0,1.06,11.0,19.0,0.73,1.55,1.84,0.19,0.66
99,MJO,1016,ASPARAGUS JUMBO CS                   11#,69.0,140.0,1.03,51.0,59.0,0.16,1.35,2.37,0.75,0.65
833,CEF,8750,APPLE GALA LOCAL 125-138CT CS        40#,39.0,79.0,1.03,16.0,28.0,0.75,2.44,2.82,0.16,0.64
255,MJO,1411,POT C WHITE CS                       50#,9.0,18.0,1.0,7.0,8.0,0.14,1.29,2.25,0.75,0.63
593,CEF,3270,NECTARINE CS                     44-60CT,9.0,18.0,1.0,6.0,10.0,0.67,1.5,1.8,0.2,0.62
888,CEF,9271,MUSH SLICED PORTABELLO LOC CS         5#,12.0,23.0,0.92,9.0,11.0,0.22,1.33,2.09,0.57,0.57
313,TS,1579,"SQUASH BTRNT CUBE 1""    KK  CS      2/5#",38.0,72.0,0.89,18.0,27.0,0.5,2.11,2.67,0.26,0.55
1388,CJW,73120,BROCCOLI FLORETS PANERA CS          6/3#,146.0,261.0,0.79,6.0,7.0,0.17,24.33,37.29,0.53,0.5
1318,CEF,63017,APPLE FUJI PK                        6PK,22.0,39.0,0.77,17.0,20.0,0.18,1.29,1.95,0.51,0.49
1195,CJW,41445,SQUASH YELLOW LOCAL CS             1/2BU,48.0,85.0,0.77,35.0,49.0,0.4,1.37,1.73,0.26,0.48
952,MJO,11341,ONION SWEET PK                        5#,22.0,39.0,0.77,12.0,17.0,0.42,1.83,2.29,0.25,0.48
12,TS,53,"CARROT DICE 1/2""        KK  CS      2/5#",33.0,58.0,0.76,16.0,23.0,0.44,2.06,2.52,0.22,0.47
918,LLB,9622,CHEESE MOZZARELLA SHRED PK            5#,12.0,20.0,0.67,7.0,10.0,0.43,1.71,2.0,0.17,0.42
553,CEF,3113,CLEMENTINES GIFT BOX CS               5#,14.0,23.0,0.64,10.0,13.0,0.3,1.4,1.77,0.26,0.4
586,CEF,3223,HONEYDEW 8CT CS                      8CT,101.0,162.0,0.6,79.0,102.0,0.29,1.28,1.59,0.24,0.38
432,TS,2216,"CUCUMBER PLD DICE 3/8""  KK  CS      2/5#",37.0,58.0,0.57,13.0,15.0,0.15,2.85,3.87,0.36,0.36
458,MJO,2471,TOMATO 6X6 2 LAYER CS                20#,52.0,82.0,0.58,39.0,48.0,0.23,1.33,1.71,0.28,0.36
940,MJO,11029,ASPARAGUS PENCIL CS                  11#,18.0,28.0,0.56,13.0,17.0,0.31,1.38,1.65,0.19,0.35
410,TS,2150,POT YAMS WP             KK  CS     2/10#,21.0,32.0,0.52,14.0,15.0,0.07,1.5,2.13,0.42,0.34
450,TS,2397,BLEND MIREPOIX          KK  CS      2/5#,37.0,57.0,0.54,26.0,34.0,0.31,1.42,1.68,0.18,0.34
44,TS,494,BLEND TOMATO SALSA MILD KK  CS      2/5#,21.0,32.0,0.52,14.0,16.0,0.14,1.5,2.0,0.33,0.33
999,CEF,15314,MUSH SLICED LOCAL CS                  5#,38.0,57.0,0.5,24.0,30.0,0.25,1.58,1.9,0.2,0.32
1440,LLB,81610,DAIRY MILK 2% LOCAL CRT            4/1GL,12.0,18.0,0.5,8.0,10.0,0.25,1.5,1.8,0.2,0.32
848,MJO,9068,CARROT BABY PLD MIX CLR CS            5#,149.0,223.0,0.5,72.0,84.0,0.17,2.07,2.65,0.28,0.32
395,CEF,2114,"CARROT COIN CUT 1/4"" CS             2/5#",62.0,93.0,0.5,28.0,31.0,0.11,2.21,3.0,0.35,0.32
366,LLB,1999,MICRO ARUGULA PK                     8OZ,50.0,73.0,0.46,39.0,49.0,0.26,1.28,1.49,0.16,0.29
229,MJO,1373,POT C BLISS RED CS                   50#,29.0,42.0,0.45,18.0,22.0,0.22,1.61,1.91,0.18,0.29
1028,LLB,19628,CHEESE CHEDDAR SHRED CS               5#,18.0,26.0,0.44,8.0,9.0,0.12,2.25,2.89,0.28,0.28
76,TS,856,"ONION YLW FAJITA 1/4"" KK CS         2/5#",36.0,52.0,0.44,15.0,19.0,0.27,2.4,2.74,0.14,0.28
431,TS,2210,BLEND STIR FRY KK CS                2/5#,19.0,27.0,0.42,11.0,13.0,0.18,1.73,2.08,0.2,0.27
327,TS,1658,"PEP GREEN JULIENNE 1/4"" KK  CS      2/5#",44.0,62.0,0.41,26.0,27.0,0.04,1.69,2.3,0.36,0.27
92,RRT,1000,ANISE FENNEL CS                     24CT,95.0,133.0,0.4,28.0,35.0,0.25,3.39,3.8,0.12,0.26
746,TS,5140,"ONION YLW DICE 3/8"" KK CS           2/5#",196.0,274.0,0.4,72.0,78.0,0.08,2.72,3.51,0.29,0.26
34,MJO,355,POT YUKON B CS                       50#,103.0,145.0,0.41,62.0,77.0,0.24,1.66,1.88,0.13,0.26
48,LLB,503,APPLE RED SLICED CS              100/2OZ,330.0,450.0,0.36,84.0,93.0,0.11,3.93,4.84,0.23,0.23
630,TS,3423,FRUIT MEDLEY CHUNK      KK  CS    4/2.5#,202.0,268.0,0.33,47.0,55.0,0.17,4.3,4.87,0.13,0.21
325,MJO,1646,GARLIC BLACK LOOSE LB                 1#,10.0,13.0,0.3,6.0,7.0,0.17,1.67,1.86,0.11,0.19
402,RRT,2135,LETT CHOP SEP-CLR CS                4/5#,52.0,67.0,0.29,23.0,24.0,0.04,2.26,2.79,0.23,0.19
618,CEF,3355,PLUM CS                          40-60CT,55.0,70.0,0.27,38.0,40.0,0.05,1.45,1.75,0.21,0.18
439,RRT,2275,LETT BETTER BURGER LEAF CS           10#,137.0,176.0,0.28,87.0,95.0,0.09,1.57,1.85,0.18,0.18
588,CEF,3225,HONEYDEW CS                        4-6CT,1110.0,1393.0,0.25,297.0,311.0,0.05,3.74,4.48,0.2,0.17
1004,MJO,18465,BEET GOLD LOOSE PK                    5#,20.0,25.0,0.25,15.0,16.0,0.07,1.33,1.56,0.17,0.16
578,CEF,3178,LIME 54-63CT CS                      10#,241.0,301.0,0.25,153.0,161.0,0.05,1.58,1.87,0.19,0.16
970,LLB,12028,LEMON GRASS LB                        1#,47.0,58.0,0.23,24.0,26.0,0.08,1.96,2.23,0.14,0.15
28,MJO,158,PEP VEGGIE SWEET MIX COLOR CS         5#,52.0,63.0,0.21,35.0,37.0,0.06,1.49,1.7,0.15,0.14
390,CEF,2109,CARROT MINI PEELED CS               4/5#,109.0,133.0,0.22,81.0,86.0,0.06,1.35,1.55,0.15,0.14
196,CEF,1317,MUSH SILVER $ LOCAL CS               10#,68.0,82.0,0.21,43.0,46.0,0.07,1.58,1.78,0.13,0.13
