,Unnamed: 0,PROD#,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,cust_count_last_wk,cust_count_this_wk,cust_count_rate_of_change
0,0,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0
1,1,9,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,6.0,7.0,0.16666666666666666
2,2,14,2.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,10.0,8.0,-0.2
3,3,15,17.0,6.0,0.0,8.0,16.0,7.0,14.0,13.0,6.0,1.0,8.0,10.0,2.0,13.0,68.0,53.0,-0.22058823529411764
4,4,24,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,5.0,1.5
5,5,26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0
6,6,27,2.0,1.0,0.0,2.0,3.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,3.0,2.0,12.0,11.0,-0.08333333333333333
7,7,29,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,-0.5
8,8,34,23.0,17.0,1.0,22.0,30.0,20.0,28.0,32.0,19.0,1.0,22.0,23.0,11.0,33.0,141.0,141.0,0.0
9,9,37,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,-0.5
10,10,38,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,-0.6666666666666666
11,11,50,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-0.3333333333333333
12,12,53,8.0,2.0,0.0,6.0,1.0,5.0,3.0,9.0,4.0,0.0,3.0,3.0,8.0,2.0,25.0,29.0,0.16
13,13,54,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,5.0,-0.16666666666666666
14,14,57,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
15,15,66,2.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,11.0,10.0,-0.09090909090909091
16,16,67,14.0,5.0,0.0,10.0,8.0,12.0,9.0,7.0,6.0,0.0,13.0,10.0,9.0,11.0,58.0,56.0,-0.034482758620689655
17,17,71,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,-0.3333333333333333
18,18,72,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,-0.5
19,19,75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-0.5
20,20,76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,-0.5
21,21,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,inf
22,22,82,3.0,1.0,0.0,4.0,1.0,4.0,2.0,5.0,0.0,1.0,1.0,2.0,4.0,0.0,15.0,13.0,-0.13333333333333333
23,23,86,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,8.0,1.0
24,24,87,2.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,-0.6666666666666666
25,25,119,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,4.0,6.0,0.5
26,26,122,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,-0.5
27,27,123,4.0,3.0,0.0,4.0,4.0,3.0,1.0,5.0,1.0,0.0,6.0,2.0,2.0,3.0,19.0,19.0,0.0
28,28,127,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
29,29,158,13.0,3.0,1.0,10.0,5.0,7.0,6.0,7.0,2.0,1.0,10.0,4.0,8.0,3.0,45.0,35.0,-0.2222222222222222
30,30,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,inf
31,31,184,6.0,3.0,0.0,3.0,2.0,3.0,3.0,6.0,2.0,0.0,3.0,5.0,2.0,4.0,20.0,22.0,0.1
32,32,210,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,-0.5
33,33,212,61.0,27.0,1.0,48.0,22.0,44.0,39.0,60.0,32.0,0.0,49.0,33.0,43.0,27.0,242.0,244.0,0.008264462809917356
34,34,322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
35,35,355,13.0,10.0,0.0,9.0,4.0,10.0,7.0,14.0,9.0,1.0,7.0,6.0,8.0,7.0,53.0,52.0,-0.018867924528301886
36,36,368,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,4.0,-0.5
37,37,414,5.0,2.0,0.0,3.0,2.0,2.0,1.0,5.0,1.0,1.0,4.0,0.0,3.0,1.0,15.0,15.0,0.0
38,38,417,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,-0.75
39,39,459,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0
40,40,465,1.0,1.0,0.0,4.0,5.0,3.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,3.0,15.0,13.0,-0.13333333333333333
41,41,468,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,4.0,0.3333333333333333
42,42,485,15.0,3.0,0.0,15.0,6.0,19.0,9.0,19.0,5.0,0.0,21.0,10.0,13.0,6.0,67.0,74.0,0.1044776119402985
43,43,488,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0
44,44,489,6.0,1.0,0.0,2.0,3.0,0.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,14.0,14.0,0.0
45,45,494,2.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,11.0,7.0,-0.36363636363636365
46,46,500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
47,47,503,4.0,0.0,0.0,13.0,4.0,6.0,5.0,5.0,0.0,0.0,10.0,3.0,6.0,5.0,32.0,29.0,-0.09375
48,48,515,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,-0.5
49,49,530,7.0,3.0,0.0,4.0,2.0,3.0,3.0,7.0,3.0,0.0,5.0,1.0,3.0,5.0,22.0,24.0,0.09090909090909091
50,50,554,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,6.0,2.0
51,51,618,10.0,12.0,0.0,7.0,8.0,8.0,12.0,12.0,8.0,0.0,9.0,12.0,5.0,6.0,57.0,52.0,-0.08771929824561403
52,52,645,6.0,0.0,1.0,3.0,4.0,6.0,2.0,9.0,3.0,0.0,5.0,4.0,7.0,2.0,22.0,30.0,0.36363636363636365
53,53,647,19.0,1.0,0.0,7.0,6.0,9.0,4.0,7.0,3.0,0.0,3.0,3.0,5.0,4.0,46.0,25.0,-0.45652173913043476
54,54,649,6.0,8.0,0.0,9.0,7.0,10.0,7.0,16.0,11.0,2.0,7.0,5.0,5.0,8.0,47.0,54.0,0.14893617021276595
55,55,668,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,20.0,20.0,0.0
56,56,700,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0
57,57,702,2.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,10.0,5.0,-0.5
58,58,703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,inf
59,59,704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0
60,60,705,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
61,61,709,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
62,62,713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,inf
63,63,715,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0
64,64,722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
65,65,726,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.5
66,66,729,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
67,67,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,inf
68,68,746,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,9.0,12.0,0.3333333333333333
69,69,844,18.0,10.0,1.0,8.0,10.0,9.0,7.0,16.0,5.0,0.0,9.0,8.0,10.0,6.0,63.0,54.0,-0.14285714285714285
70,70,851,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,1.5
71,71,853,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0
72,72,854,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
73,73,856,1.0,0.0,1.0,3.0,4.0,1.0,1.0,5.0,0.0,0.0,1.0,4.0,4.0,1.0,11.0,15.0,0.36363636363636365
74,74,857,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0
75,75,877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,inf
76,76,878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,inf
77,77,880,2.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,11.0,11.0,0.0
78,78,881,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0
79,79,882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,inf
80,80,887,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,5.0,5.0,0.0
81,81,891,2.0,1.0,0.0,3.0,0.0,6.0,1.0,6.0,2.0,0.0,6.0,0.0,4.0,0.0,13.0,18.0,0.38461538461538464
82,82,894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,inf
83,83,895,5.0,1.0,0.0,5.0,0.0,3.0,5.0,3.0,5.0,0.0,4.0,3.0,5.0,1.0,19.0,21.0,0.10526315789473684
84,84,910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,inf
85,85,925,2.0,1.0,2.0,5.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,13.0,9.0,-0.3076923076923077
86,86,929,7.0,2.0,0.0,7.0,0.0,5.0,5.0,5.0,2.0,0.0,4.0,4.0,3.0,2.0,26.0,20.0,-0.23076923076923078
87,87,936,2.0,6.0,1.0,5.0,2.0,0.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,2.0,17.0,17.0,0.0
88,88,970,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,3.0,-0.4
89,89,976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,inf
90,90,999,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0
91,91,1000,3.0,3.0,1.0,3.0,3.0,8.0,7.0,3.0,2.0,1.0,5.0,9.0,5.0,4.0,28.0,29.0,0.03571428571428571
92,92,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,inf
